Cell Number,Frames Appeared
1,"[0, 22, 26]"
2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 47, 48, 51, 52, 53, 80, 81, 82, 83, 84, 85, 93, 95, 98, 99]"
3,"[0, 1, 2, 4, 5, 8, 9, 16, 18, 19, 20, 34, 35, 36, 37, 38, 39, 40, 41, 42, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 80]"
4,"[0, 2, 3, 4, 6, 7, 8, 10, 11, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 43, 45, 46, 47, 48, 50, 51, 52, 53, 54, 58, 59, 60, 61, 62, 64, 65, 66, 69, 70, 71, 73, 76, 77, 78, 80, 81, 82, 83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98]"
5,"[0, 2, 3, 4, 7, 8, 13, 14, 15, 72, 79, 85]"
6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 36, 37, 38, 39, 42, 46, 49, 52, 53, 66]"
7,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
8,"[0, 1, 2, 3, 4, 37, 38, 45, 47, 49, 50, 51, 55, 56, 57, 58, 59, 60, 62, 64, 66, 69, 71, 74, 75, 76, 77, 78, 79, 81, 82, 83, 84, 85, 88, 89, 91, 92, 98]"
9,"[0, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 25, 26, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 56, 57, 58, 59, 60, 62, 71, 72, 73, 74, 77, 79, 86, 87]"
10,"[0, 3, 4, 5, 6, 7, 14, 15, 16, 17, 18, 19, 20, 22, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 51, 52, 53, 54, 55, 57, 58, 60, 63, 64, 65, 66, 70, 71, 72, 73, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 87, 89, 95]"
11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]"
